No,minutes,Price,Area,Year,Structure,BCR,FAR,Reformed
1,3,190000000,70,1,‚q‚b,80,500,0
2,5,350000000,200,39,‚r‚q‚b,60,400,0
4,4,38000000,30,16,‚q‚b,80,700,0
5,2,30000000,20,17,‚r‚q‚b,80,700,0
6,4,29000000,25,14,‚q‚b,80,600,0
7,4,24000000,20,23,‚q‚b,80,500,0
9,3,19000000,20,43,‚r‚q‚b,80,600,1
10,3,60000000,40,4,‚q‚b,80,600,0
11,5,64000000,55,17,‚q‚b,80,600,0
12,5,25000000,20,16,‚q‚b,80,500,0
13,1,15000000,15,46,‚r‚q‚b,80,500,1
14,3,35000000,30,11,‚q‚b,80,600,0
16,5,48000000,30,8,‚q‚b,80,600,0
17,4,26000000,20,18,‚r‚q‚b,80,800,0
18,2,23000000,20,20,‚q‚b,80,600,0
20,1,68000000,40,6,‚q‚b,80,600,0
21,5,58000000,55,47,‚q‚b,80,700,1
22,2,44000000,30,20,‚q‚b,80,400,0
25,1,100000000,55,9,‚q‚b,80,600,0
28,2,160000000,115,46,‚r‚q‚b,80,500,0
29,8,66000000,50,18,‚q‚b,80,500,0
30,4,25000000,25,21,‚r‚q‚b,80,600,0
31,5,62000000,50,11,‚r‚q‚b,80,500,0
32,2,70000000,65,18,‚r‚q‚b,80,800,1
33,2,150000000,90,24,‚q‚b,60,400,0
