chinRyo,ekiToho,senMenseki,chiku,kai_all,shinchiku,kai_above,south,parking,autolock,aircon,bathtoilet,addbatch,flooring,pet,url_detail
55000,19,19.8,40,2,0,1,1,0,0,1,1,1,1,1,https://www.chintai.net/detail/bk-0000006630000000006675200002/
72000,1,42,23,3,0,1,0,0,0,1,1,0,1,0,https://www.chintai.net/detail/bk-0000004280000000000754720006/
48000,10,14.16,34,5,0,1,0,0,0,1,0,0,1,0,https://www.chintai.net/detail/bk-C010075290046540000636860001/
67000,11,19.22,12,4,0,1,0,0,0,1,1,0,1,0,https://www.chintai.net/detail/bk-0000000020000000009138340008/
114000,4,45.36,2,4,0,0,0,0,1,1,1,1,1,0,https://www.chintai.net/detail/bk-0000000020000000009178480003/
79000,5,19.25,3,5,0,1,0,0,1,1,1,0,1,0,https://www.chintai.net/detail/bk-C010078540000000001026610004/
57000,6,21.11,0,2,1,0,1,0,0,1,1,0,1,0,https://www.chintai.net/detail/bk-C010075410000000001116930007/
57000,6,21.11,0,2,1,0,1,0,0,1,1,0,1,0,https://www.chintai.net/detail/bk-C010075410000000001116930005/
57000,6,21.11,0,2,1,0,1,0,0,1,1,0,1,0,https://www.chintai.net/detail/bk-C010075410000000001116930006/
57000,6,21.11,0,2,1,0,1,0,0,1,1,0,1,0,https://www.chintai.net/detail/bk-C010075410000000001116930008/
107000,9,42.52,4,3,0,1,1,0,1,1,1,1,1,0,https://www.chintai.net/detail/bk-0000000020000000005354090008/
106000,8,51.65,28,6,0,1,0,1,0,0,1,1,1,0,https://www.chintai.net/detail/bk-0000000960000000002475740015/
46500,7,16.8,26,4,0,0,0,0,1,1,0,0,1,0,https://www.chintai.net/detail/bk-C010083690000000000001580001/
66000,6,29.9,36,4,0,1,1,0,0,1,1,0,1,0,https://www.chintai.net/detail/bk-C010075410000000001113520002/
45000,6,11.35,16,3,0,0,0,0,0,1,0,0,0,0,https://www.chintai.net/detail/bk-C010083690000000000004480001/
45000,10,20.25,27,2,0,1,0,0,0,1,0,0,0,0,https://www.chintai.net/detail/bk-C010083690000000000002320001/
58000,6,26.02,50,2,0,1,1,0,0,0,1,0,1,0,https://www.chintai.net/detail/bk-C010083690000000000007160001/
64000,7,19.3,14,3,0,0,1,0,1,1,1,0,1,0,https://www.chintai.net/detail/bk-C010083690000000000001210001/
23000,11,7,3,2,0,0,0,0,0,1,0,0,0,0,https://www.chintai.net/detail/bk-C010083690000000000010270001/
24500,11,7,3,2,0,1,0,0,0,1,0,0,0,0,https://www.chintai.net/detail/bk-C010083690000000000010270002/
79000,5,26.65,8,9,0,1,0,0,1,1,1,1,1,0,https://www.chintai.net/detail/bk-C010083690000000000008490001/
48000,10,14.16,34,5,0,1,0,0,0,1,0,0,0,0,https://www.chintai.net/detail/bk-C010083690000000000008890001/
66500,3,25.11,4,9,0,1,0,0,1,1,1,0,1,1,https://www.chintai.net/detail/bk-C010075410000000001119930001/
66500,13,20.52,1,3,0,1,0,0,1,1,1,0,1,0,https://www.chintai.net/detail/bk-C010046450000420079785720001/
78000,9,20.7,5,3,0,1,0,0,1,1,1,0,1,0,https://www.chintai.net/detail/bk-0000000020000000006963480006/
75000,12,22.92,8,2,0,1,0,0,0,1,1,0,1,0,https://www.chintai.net/detail/bk-0000006630000000004097320002/
66500,13,20.52,1,3,0,1,0,0,1,1,1,0,1,0,https://www.chintai.net/detail/bk-C010078490000000001055420001/
132000,6,59.5,21,7,0,1,1,0,0,1,1,1,1,0,https://www.chintai.net/detail/bk-0000006630000000003283400014/
66500,13,20.52,1,3,0,1,1,0,1,1,1,0,1,0,https://www.chintai.net/detail/bk-C010070510022010001886530001/
