Prefecture,All,65_over
Hokkaido,5183000,1686000
Aomori,1221000,419000
Iwate,1196000,409000
Miyagi,2290000,655000
Akita,945000,360000
Yamagata,1055000,362000
Fukushima,1812000,585000
Ibaraki,2852000,860000
Tochigi,1921000,569000
Gunma,1927000,589000
Saitama,7340000,2000000
Chiba,6275000,1748000
Tokyo,14010000,3202000
Kanagawa,9236000,2376000
Niigata,2177000,723000
Toyama,1025000,337000
Ishikawa,1125000,338000
Fukui,760000,236000
Yamanashi,805000,252000
Nagano,2033000,657000
Gifu,1961000,605000
Shizuoka,3608000,1099000
Aichi,7517000,1918000
Mie,1756000,531000
Shiga,1411000,376000
Kyoto,2561000,758000
Osaka,8806000,2442000
Hyogo,5432000,1608000
Nara,1315000,423000
Wakayama,914000,308000
Tottori,549000,180000
Shimane,665000,229000
Okayama,1876000,575000
Hiroshima,2780000,827000
Yamaguchi,1328000,465000
Tokushima,712000,247000
Kagawa,942000,303000
Ehime,1321000,444000
Kochi,684000,245000
Fukuoka,5124000,1445000
Saga,806000,251000
Nagasaki,1297000,435000
Kumamoto,1728000,551000
Oita,1114000,376000
Miyazaki,1061000,351000
Kagoshima,1576000,521000
Okinawa,1468000,339000
