レシートNo,日,時間,顧客ID,税抜価格,税抜単価,個数,大カテゴリ番号,大カテゴリ名,中カテゴリ番号,中カテゴリ名,小カテゴリ番号,小カテゴリ名
1,1,9,1518,50,10,5,11,農産,1113,野菜,111327,じゃが芋
1,1,9,1518,50,10,5,11,農産,1113,野菜,111363,玉葱
1,1,9,1518,90,90,1,11,農産,1113,野菜,111361,レタス
1,1,9,1518,185,185,1,11,農産,1113,野菜,111339,トマト
2,1,9,1532,85,85,1,11,農産,1113,野菜,111318,キャベツ
3,1,9,1616,90,30,3,11,農産,1113,野菜,111319,キュウリ
3,1,9,1616,130,65,2,20,飲料,2012,清涼飲料,201214,炭酸飲料
3,1,9,1616,75,75,1,11,農産,1113,野菜,111356,もやし
3,1,9,1616,85,85,1,11,農産,1113,野菜,111361,レタス
3,1,9,1616,100,100,1,15,穀物類,1512,パン,151213,菓子パン
3,1,9,1616,100,100,1,17,即席食品,1714,即席汁物,171413,即席味噌汁
3,1,9,1616,110,110,1,18,惣菜,1813,弁当,181313,米飯惣菜
3,1,9,1616,110,110,1,18,惣菜,1813,弁当,181313,米飯惣菜
3,1,9,1616,110,110,1,18,惣菜,1813,弁当,181313,米飯惣菜
3,1,9,1616,110,110,1,15,穀物類,1512,パン,151215,調理パン
3,1,9,1616,240,120,2,18,惣菜,1813,弁当,181313,米飯惣菜
3,1,9,1616,120,120,1,20,飲料,2014,野菜・果実飲料,201411,果実飲料
3,1,9,1616,140,140,1,17,即席食品,1715,即席麺,171511,カップ麺
3,1,9,1616,140,140,1,21,酒類,2113,ビール類,211312,新ジャンル
3,1,9,1616,170,170,1,20,飲料,2013,乳系飲料,201311,牛乳
3,1,9,1616,180,180,1,15,穀物類,1512,パン,151215,調理パン
3,1,9,1616,195,195,1,11,農産,1113,野菜,111376,椎茸
3,1,9,1616,205,205,1,17,即席食品,1715,即席麺,171511,カップ麺
3,1,9,1616,230,230,1,13,畜産,1312,鶏肉,131213,輸入鶏
3,1,9,1616,230,230,1,13,畜産,1315,豚肉,131511,国産豚
3,1,9,1616,460,230,2,13,畜産,1315,豚肉,131513,輸入豚
3,1,9,1616,295,295,1,12,水産,1211,塩干加工品,121117,水産塩干し
4,1,9,1350,100,10,10,11,農産,1113,野菜,111327,じゃが芋
4,1,9,1350,50,10,5,11,農産,1113,野菜,111363,玉葱
4,1,9,1350,55,55,1,16,加工食品,1614,水物,161413,豆腐
4,1,9,1350,95,95,1,13,畜産,1313,精肉加工品,131312,鶏卵
4,1,9,1350,180,180,1,19,菓子,1911,アイスクリーム,191113,マルチパックアイス
4,1,9,1350,180,180,1,20,飲料,2013,乳系飲料,201314,乳酸菌飲料
4,1,9,1350,190,190,1,19,菓子,1911,アイスクリーム,191113,マルチパックアイス
4,1,9,1350,500,500,1,12,水産,1213,鮮魚,121326,たら
4,1,9,1350,95,95,1,13,畜産,1313,精肉加工品,131312,鶏卵
4,1,9,1350,185,185,1,11,農産,1113,野菜,111339,トマト
4,1,9,1350,895,895,1,20,飲料,2012,清涼飲料,201214,炭酸飲料
5,1,10,1742,95,95,1,19,菓子,1915,生菓子,191513,和風生菓子
5,1,10,1742,95,95,1,20,飲料,2012,清涼飲料,201211,スポーツ飲料
