,Receipt No.,Date,Time,Customer ID,Price before tax,Unit price before tax,Number,Category No.,Category name,Subcategory No.,Subcategory,Subsubcategory No.,Subsubcategory,Subsubcategory_ID
18,3,1,9,1616,140,140,1,21,Liquor,2113,Beer,211312,New genre,252
195,19,1,13,1703,100,100,1,21,Liquor,2113,Beer,211312,New genre,252
211,21,1,13,1519,685,685,1,21,Liquor,2118,Sake,211811,Refined sake,364
298,31,1,17,1620,185,185,1,21,Liquor,2116,Liquor and etc.,211612,Ice,175
327,33,1,12,1090,125,125,1,21,Liquor,2113,Beer,211312,New genre,252
329,33,1,12,1090,140,140,1,21,Liquor,2113,Beer,211312,New genre,252
438,42,1,19,1307,190,190,1,21,Liquor,2113,Beer,211311,Beer,22
439,42,1,19,1307,210,210,1,21,Liquor,2118,Sake,211811,Refined sake,364
467,44,1,19,1817,100,100,1,21,Liquor,2113,Beer,211312,New genre,252
468,44,1,19,1817,185,185,1,21,Liquor,2116,Liquor and etc.,211612,Ice,175
496,46,1,19,1117,1135,1135,1,21,Liquor,2113,Beer,211311,Beer,22
506,48,1,19,1281,185,185,1,21,Liquor,2116,Liquor and etc.,211612,Ice,175
507,48,1,19,1281,1980,1980,1,21,Liquor,2117,Shochu,211712,Korui-Shochu,217
510,49,1,19,1573,185,185,1,21,Liquor,2116,Liquor and etc.,211612,Ice,175
532,51,1,20,1567,110,110,1,21,Liquor,2112,Non-alcoholic drinks,211212,Alcohol-free beer,1
558,53,1,20,1576,155,155,1,21,Liquor,2114,Liqueur,211412,Cocktail/ Cocktail of Japanese spirits,79
581,55,1,20,1962,120,120,1,21,Liquor,2113,Beer,211312,New genre,252
584,55,1,20,1962,250,250,1,21,Liquor,2113,Beer,211311,Beer,22
604,58,1,21,1600,650,650,1,21,Liquor,2113,Beer,211312,New genre,252
776,75,1,15,1815,185,185,1,21,Liquor,2115,Wine,211514,OthersWine,316
835,78,1,15,1818,1190,1190,1,21,Liquor,2113,Beer,211311,Beer,22
874,84,1,17,1029,95,95,1,21,Liquor,2114,Liqueur,211412,Cocktail/ Cocktail of Japanese spirits,79
879,84,1,17,1029,110,110,1,21,Liquor,2112,Non-alcoholic drinks,211212,Alcohol-free beer,1
882,84,1,17,1029,130,130,1,21,Liquor,2112,Non-alcoholic drinks,211212,Alcohol-free beer,1
903,86,1,17,1007,1305,1305,1,21,Liquor,2115,Wine,211513,Imported wine,181
916,88,1,15,1583,190,190,1,21,Liquor,2118,Sake,211811,Refined sake,364
927,88,1,15,1583,100,100,1,21,Liquor,2116,Liquor and etc.,211611,Mixer,241
928,88,1,15,1583,100,100,1,21,Liquor,2116,Liquor and etc.,211611,Mixer,241
952,91,1,18,1768,200,100,2,21,Liquor,2113,Beer,211312,New genre,252
1043,100,1,19,1115,105,105,1,21,Liquor,2114,Liqueur,211412,Cocktail/ Cocktail of Japanese spirits,79
1044,100,1,19,1115,120,120,1,21,Liquor,2113,Beer,211312,New genre,252
1158,110,1,11,1388,105,105,1,21,Liquor,2114,Liqueur,211412,Cocktail/ Cocktail of Japanese spirits,79
1159,110,1,11,1388,105,105,1,21,Liquor,2114,Liqueur,211412,Cocktail/ Cocktail of Japanese spirits,79
1160,110,1,11,1388,120,120,1,21,Liquor,2113,Beer,211312,New genre,252
1169,110,1,11,1388,190,190,1,21,Liquor,2113,Beer,211311,Beer,22
1180,111,1,11,1705,300,150,2,21,Liquor,2113,Beer,211312,New genre,252
1188,111,1,11,1705,945,945,1,21,Liquor,2117,Shochu,211712,Korui-Shochu,217
1251,115,1,11,1213,475,475,1,21,Liquor,2118,Sake,211811,Refined sake,364
1252,115,1,11,1213,800,800,1,21,Liquor,2118,Sake,211811,Refined sake,364
1397,128,1,16,1259,115,115,1,21,Liquor,2116,Liquor and etc.,211611,Mixer,241
1398,128,1,16,1259,115,115,1,21,Liquor,2116,Liquor and etc.,211611,Mixer,241
1496,136,1,17,1274,600,600,1,21,Liquor,2113,Beer,211312,New genre,252
1501,137,1,18,1919,185,185,1,21,Liquor,2116,Liquor and etc.,211612,Ice,175
1519,138,1,18,1640,600,600,1,21,Liquor,2113,Beer,211312,New genre,252
1526,140,1,18,1074,750,150,5,21,Liquor,2113,Beer,211312,New genre,252
1562,144,1,19,1091,210,210,1,21,Liquor,2113,Beer,211311,Beer,22
1590,147,1,19,1760,560,140,4,21,Liquor,2113,Beer,211313,Low-malt beer,226
1597,147,1,19,1760,650,650,1,21,Liquor,2113,Beer,211312,New genre,252
1626,149,1,19,1770,700,700,1,21,Liquor,2113,Beer,211313,Low-malt beer,226
1683,153,1,20,1438,100,100,1,21,Liquor,2113,Beer,211312,New genre,252
1686,153,1,20,1438,150,150,1,21,Liquor,2113,Beer,211312,New genre,252
1727,158,1,9,1044,2460,2460,1,21,Liquor,2117,Shochu,211711,Otsurui-Shochu,318
1796,165,1,11,1481,95,95,1,21,Liquor,2114,Liqueur,211412,Cocktail/ Cocktail of Japanese spirits,79
1797,165,1,11,1481,95,95,1,21,Liquor,2114,Liqueur,211412,Cocktail/ Cocktail of Japanese spirits,79
1801,165,1,11,1481,320,160,2,21,Liquor,2114,Liqueur,211412,Cocktail/ Cocktail of Japanese spirits,79
1833,169,1,13,1848,200,100,2,21,Liquor,2116,Liquor and etc.,211611,Mixer,241
1862,173,1,13,1023,120,120,1,21,Liquor,2113,Beer,211312,New genre,252
1863,173,1,13,1023,150,150,1,21,Liquor,2114,Liqueur,211412,Cocktail/ Cocktail of Japanese spirits,79
1919,179,1,14,1070,4155,1385,3,21,Liquor,2113,Beer,211311,Beer,22
1951,182,1,15,1634,185,185,1,21,Liquor,2116,Liquor and etc.,211612,Ice,175
1992,188,1,17,1165,600,150,4,21,Liquor,2112,Non-alcoholic drinks,211212,Alcohol-free beer,1
2023,191,1,17,1982,460,115,4,21,Liquor,2113,Beer,211312,New genre,252
2027,191,1,17,1982,150,150,1,21,Liquor,2113,Beer,211312,New genre,252
2050,192,1,17,1302,645,645,1,21,Liquor,2113,Beer,211312,New genre,252
2059,194,1,18,1553,3390,3390,1,21,Liquor,2113,Beer,211312,New genre,252
2062,195,1,18,1275,270,270,1,21,Liquor,2113,Beer,211311,Beer,22
2103,197,1,18,1360,645,645,1,21,Liquor,2113,Beer,211312,New genre,252
2131,201,1,19,1822,105,105,1,21,Liquor,2114,Liqueur,211412,Cocktail/ Cocktail of Japanese spirits,79
2132,201,1,19,1822,105,105,1,21,Liquor,2114,Liqueur,211412,Cocktail/ Cocktail of Japanese spirits,79
2231,215,1,10,1379,185,185,1,21,Liquor,2116,Liquor and etc.,211612,Ice,175
2327,223,1,16,1103,890,890,1,21,Liquor,2113,Beer,211312,New genre,252
2343,225,1,16,1995,230,115,2,21,Liquor,2113,Beer,211312,New genre,252
2347,226,1,16,1878,120,120,1,21,Liquor,2113,Beer,211312,New genre,252
2348,226,1,16,1878,300,150,2,21,Liquor,2113,Beer,211312,New genre,252
2356,227,1,16,1875,180,180,1,21,Liquor,2114,Liqueur,211412,Cocktail/ Cocktail of Japanese spirits,79
2364,228,1,16,1961,110,110,1,21,Liquor,2112,Non-alcoholic drinks,211212,Alcohol-free beer,1
2365,228,1,16,1961,110,110,1,21,Liquor,2112,Non-alcoholic drinks,211212,Alcohol-free beer,1
2366,228,1,16,1961,150,150,1,21,Liquor,2113,Beer,211312,New genre,252
2367,228,1,16,1961,150,150,1,21,Liquor,2114,Liqueur,211412,Cocktail/ Cocktail of Japanese spirits,79
2479,238,1,18,1082,895,895,1,21,Liquor,2117,Shochu,211713,OthersShochu,312
2486,240,2,12,1984,370,185,2,21,Liquor,2113,Beer,211311,Beer,22
2487,240,2,12,1984,410,205,2,21,Liquor,2113,Beer,211311,Beer,22
2488,240,2,12,1984,760,380,2,21,Liquor,2113,Beer,211311,Beer,22
2493,241,2,12,1023,120,120,1,21,Liquor,2113,Beer,211312,New genre,252
2509,243,2,12,1256,105,105,1,21,Liquor,2114,Liqueur,211412,Cocktail/ Cocktail of Japanese spirits,79
2515,243,2,12,1256,205,205,1,21,Liquor,2113,Beer,211311,Beer,22
2516,243,2,12,1256,205,205,1,21,Liquor,2113,Beer,211311,Beer,22
2520,243,2,12,1256,1135,1135,1,21,Liquor,2113,Beer,211311,Beer,22
2555,248,2,15,1857,600,600,1,21,Liquor,2113,Beer,211312,New genre,252
2573,249,2,15,1990,600,600,1,21,Liquor,2113,Beer,211312,New genre,252
2638,257,2,16,1776,850,850,1,21,Liquor,2113,Beer,211312,New genre,252
2702,263,2,18,1161,330,165,2,21,Liquor,2117,Shochu,211712,Korui-Shochu,217
2726,265,2,18,1360,890,890,1,21,Liquor,2113,Beer,211312,New genre,252
2730,266,2,18,1020,100,100,1,21,Liquor,2113,Beer,211312,New genre,252
2757,269,2,19,1226,450,150,3,21,Liquor,2112,Non-alcoholic drinks,211212,Alcohol-free beer,1
2777,271,2,19,1895,150,150,1,21,Liquor,2113,Beer,211312,New genre,252
2778,271,2,19,1895,150,150,1,21,Liquor,2113,Beer,211312,New genre,252
2842,279,2,21,1541,300,150,2,21,Liquor,2113,Beer,211312,New genre,252
2858,281,2,21,1325,190,190,1,21,Liquor,2113,Beer,211311,Beer,22
2862,281,2,21,1325,250,250,1,21,Liquor,2113,Beer,211311,Beer,22
2895,286,2,21,1435,150,150,1,21,Liquor,2114,Liqueur,211412,Cocktail/ Cocktail of Japanese spirits,79
2896,286,2,21,1435,150,150,1,21,Liquor,2114,Liqueur,211412,Cocktail/ Cocktail of Japanese spirits,79
2906,289,2,10,1470,95,95,1,21,Liquor,2118,Sake,211811,Refined sake,364
2908,289,2,10,1470,120,120,1,21,Liquor,2113,Beer,211312,New genre,252
2997,297,2,11,1763,2795,2795,1,21,Liquor,2113,Beer,211313,Low-malt beer,226
3058,306,2,13,1053,105,105,1,21,Liquor,2114,Liqueur,211412,Cocktail/ Cocktail of Japanese spirits,79
3059,306,2,13,1053,105,105,1,21,Liquor,2114,Liqueur,211412,Cocktail/ Cocktail of Japanese spirits,79
3089,308,2,14,1002,100,100,1,21,Liquor,2113,Beer,211312,New genre,252
3102,309,2,14,1987,210,105,2,21,Liquor,2114,Liqueur,211412,Cocktail/ Cocktail of Japanese spirits,79
3112,310,2,14,1092,175,175,1,21,Liquor,2113,Beer,211311,Beer,22
3114,310,2,14,1092,220,220,1,21,Liquor,2113,Beer,211311,Beer,22
3117,310,2,14,1092,270,270,1,21,Liquor,2113,Beer,211311,Beer,22
3210,316,2,15,1379,100,100,1,21,Liquor,2113,Beer,211312,New genre,252
3214,316,2,15,1379,175,175,1,21,Liquor,2113,Beer,211311,Beer,22
3244,321,2,16,1489,100,100,1,21,Liquor,2113,Beer,211312,New genre,252
3265,322,2,17,1064,1045,1045,1,21,Liquor,2113,Beer,211311,Beer,22
3422,338,2,18,1962,150,150,1,21,Liquor,2113,Beer,211312,New genre,252
3424,338,2,18,1962,250,250,1,21,Liquor,2113,Beer,211311,Beer,22
3493,345,2,19,1049,115,115,1,21,Liquor,2114,Liqueur,211412,Cocktail/ Cocktail of Japanese spirits,79
3494,345,2,19,1049,115,115,1,21,Liquor,2114,Liqueur,211412,Cocktail/ Cocktail of Japanese spirits,79
3539,350,2,19,1134,330,110,3,21,Liquor,2114,Liqueur,211412,Cocktail/ Cocktail of Japanese spirits,79
3550,351,2,19,1462,110,110,1,21,Liquor,2114,Liqueur,211412,Cocktail/ Cocktail of Japanese spirits,79
3551,351,2,19,1462,110,110,1,21,Liquor,2114,Liqueur,211412,Cocktail/ Cocktail of Japanese spirits,79
3553,351,2,19,1462,300,150,2,21,Liquor,2113,Beer,211312,New genre,252
3562,352,2,20,1734,230,115,2,21,Liquor,2113,Beer,211312,New genre,252
3658,362,2,20,1705,105,105,1,21,Liquor,2114,Liqueur,211412,Cocktail/ Cocktail of Japanese spirits,79
3659,362,2,20,1705,300,150,2,21,Liquor,2113,Beer,211312,New genre,252
3679,363,2,8,1347,190,190,1,21,Liquor,2113,Beer,211311,Beer,22
3703,365,2,16,1296,120,120,1,21,Liquor,2113,Beer,211312,New genre,252
3770,374,2,17,1617,100,100,1,21,Liquor,2113,Beer,211312,New genre,252
3801,379,2,18,1243,115,115,1,21,Liquor,2112,Non-alcoholic drinks,211211,Alcohol-free cocktails,2
3802,379,2,18,1243,115,115,1,21,Liquor,2112,Non-alcoholic drinks,211211,Alcohol-free cocktails,2
3803,379,2,18,1243,115,115,1,21,Liquor,2112,Non-alcoholic drinks,211211,Alcohol-free cocktails,2
3812,380,2,18,1908,155,155,1,21,Liquor,2113,Beer,211313,Low-malt beer,226
3824,381,2,18,1021,1195,1195,1,21,Liquor,2117,Shochu,211712,Korui-Shochu,217
3825,381,2,18,1021,1200,1200,1,21,Liquor,2117,Shochu,211712,Korui-Shochu,217
3848,384,2,18,1981,185,185,1,21,Liquor,2116,Liquor and etc.,211612,Ice,175
3896,391,2,20,1576,155,155,1,21,Liquor,2114,Liqueur,211412,Cocktail/ Cocktail of Japanese spirits,79
3899,392,2,20,1103,320,160,2,21,Liquor,2114,Liqueur,211412,Cocktail/ Cocktail of Japanese spirits,79
3900,392,2,20,1103,160,160,1,21,Liquor,2114,Liqueur,211412,Cocktail/ Cocktail of Japanese spirits,79
3928,396,2,20,1600,650,650,1,21,Liquor,2113,Beer,211312,New genre,252
3943,401,2,9,1420,380,190,2,21,Liquor,2113,Beer,211311,Beer,22
4009,407,2,11,1952,400,200,2,21,Liquor,2113,Beer,211311,Beer,22
4020,408,2,11,1388,95,95,1,21,Liquor,2114,Liqueur,211412,Cocktail/ Cocktail of Japanese spirits,79
4023,408,2,11,1388,120,120,1,21,Liquor,2113,Beer,211312,New genre,252
4029,408,2,11,1388,205,205,1,21,Liquor,2113,Beer,211311,Beer,22
4151,420,2,13,1670,300,150,2,21,Liquor,2114,Liqueur,211412,Cocktail/ Cocktail of Japanese spirits,79
4152,420,2,13,1670,300,150,2,21,Liquor,2114,Liqueur,211412,Cocktail/ Cocktail of Japanese spirits,79
4183,421,2,14,1792,645,645,1,21,Liquor,2113,Beer,211312,New genre,252
4242,427,2,16,1121,150,150,1,21,Liquor,2113,Beer,211312,New genre,252
4243,427,2,16,1121,150,150,1,21,Liquor,2113,Beer,211312,New genre,252
4244,427,2,16,1121,165,165,1,21,Liquor,2113,Beer,211312,New genre,252
4302,433,2,17,1405,1200,600,2,21,Liquor,2113,Beer,211312,New genre,252
4419,446,2,18,1687,440,110,4,21,Liquor,2114,Liqueur,211412,Cocktail/ Cocktail of Japanese spirits,79
4423,446,2,18,1687,645,645,1,21,Liquor,2113,Beer,211312,New genre,252
