Invoice,Item
1,EX1200,106
2,EX1129,101
3,EX1144,115
4,EX1120,118
5,EX1040,120
6,EX1147,109
7,EX1169,105
8,EX1181,119
9,EX1015,103
10,EX1045,104
11,EX1057,105
12,EX1107,118
13,EX1100,107
14,EX1190,111
15,EX1033,109
16,EX1013,104
17,EX1046,102
18,EX1110,112
19,EX1070,120
20,EX1161,103
21,EX1133,106
22,EX1181,103
23,EX1164,105
24,EX1199,104
25,EX1152,118
26,EX1118,107
27,EX1137,111
28,EX1022,114
29,EX1122,105
30,EX1125,102
31,EX1068,103
32,EX1062,120
33,EX1072,107
34,EX1138,106
35,EX1115,120
36,EX1131,115
37,EX1183,106
38,EX1011,116
39,EX1032,111
40,EX1027,103
41,EX1138,110
42,EX1169,102
43,EX1165,107
44,EX1015,118
45,EX1078,120
46,EX1129,111
47,EX1106,101
48,EX1149,101
49,EX1015,115
50,EX1110,105
51,EX1010,114
52,EX1163,108
53,EX1138,116
54,EX1136,114
55,EX1007,103
56,EX1120,120
57,EX1104,113
58,EX1070,120
59,EX1111,115
60,EX1004,119
61,EX1120,115
62,EX1030,104
63,EX1126,110
64,EX1153,113
65,EX1178,115
66,EX1164,107
67,EX1153,115
68,EX1142,115
69,EX1095,112
70,EX1194,120
71,EX1086,119
72,EX1127,101
73,EX1032,108
74,EX1171,103
75,EX1007,119
76,EX1196,118
77,EX1099,110
78,EX1168,104
79,EX1084,115
80,EX1160,102
81,EX1007,111
82,EX1053,103
83,EX1022,115
84,EX1174,101
85,EX1055,105
86,EX1181,103
87,EX1143,115
88,EX1010,114
89,EX1083,109
90,EX1170,113
91,EX1042,114
92,EX1139,114
93,EX1112,114
94,EX1189,107
95,EX1026,102
96,EX1149,117
97,EX1158,111
98,EX1165,105
99,EX1032,114
100,EX1058,120
101,EX1138,104
102,EX1143,114
103,EX1186,102
104,EX1184,103
105,EX1148,108
106,EX1160,113
107,EX1199,119
108,EX1110,120
109,EX1171,105
110,EX1037,110
111,EX1151,120
112,EX1139,120
113,EX1030,105
114,EX1090,113
115,EX1184,106
116,EX1079,112
117,EX1173,120
118,EX1135,105
119,EX1046,120
120,EX1132,109
121,EX1123,106
122,EX1098,106
123,EX1072,111
124,EX1063,119
125,EX1151,116
126,EX1183,110
127,EX1127,105
128,EX1017,101
129,EX1099,113
130,EX1017,106
131,EX1108,101
132,EX1045,106
133,EX1089,117
134,EX1138,105
135,EX1173,112
136,EX1174,108
137,EX1130,108
138,EX1096,114
139,EX1137,110
140,EX1092,118
141,EX1059,112
142,EX1096,103
143,EX1089,113
144,EX1088,110
145,EX1152,117
146,EX1169,102
147,EX1081,119
148,EX1009,112
149,EX1136,107
150,EX1049,107
151,EX1089,112
152,EX1064,105
153,EX1034,113
154,EX1122,111
155,EX1193,105
156,EX1175,112
157,EX1119,113
158,EX1031,102
159,EX1078,118
160,EX1029,109
161,EX1023,119
162,EX1150,120
163,EX1065,120
164,EX1193,117
165,EX1190,113
166,EX1149,116
167,EX1183,120
168,EX1052,105
169,EX1098,102
170,EX1030,115
171,EX1049,102
172,EX1034,120
173,EX1068,107
174,EX1092,101
175,EX1162,108
176,EX1057,114
177,EX1138,102
178,EX1118,115
179,EX1124,104
180,EX1191,102
181,EX1168,107
182,EX1058,110
183,EX1020,110
184,EX1177,104
185,EX1077,117
186,EX1133,108
187,EX1125,119
188,EX1059,114
189,EX1187,104
190,EX1128,104
191,EX1197,120
192,EX1188,102
193,EX1029,115
194,EX1187,106
195,EX1162,107
196,EX1184,120
197,EX1189,109
198,EX1185,117
199,EX1193,117
200,EX1046,106
201,EX1081,115
202,EX1199,109
203,EX1033,102
204,EX1100,104
205,EX1006,102
206,EX1050,107
207,EX1188,110
208,EX1172,114
209,EX1145,117
210,EX1142,101
211,EX1162,112
212,EX1037,120
213,EX1007,115
214,EX1043,103
215,EX1188,108
216,EX1003,104
217,EX1115,110
218,EX1013,119
219,EX1189,120
220,EX1006,104
221,EX1105,107
222,EX1094,111
223,EX1139,101
224,EX1181,118
225,EX1152,101
226,EX1049,108
227,EX1141,106
228,EX1150,108
229,EX1154,110
230,EX1189,116
231,EX1135,111
232,EX1086,118
233,EX1087,110
234,EX1051,102
235,EX1190,113
236,EX1047,114
237,EX1166,105
238,EX1068,114
239,EX1090,114
240,EX1079,111
241,EX1094,110
242,EX1128,115
243,EX1111,114
244,EX1123,118
245,EX1084,111
246,EX1058,106
247,EX1040,111
248,EX1093,108
249,EX1131,120
250,EX1172,120
251,EX1062,101
252,EX1109,105
253,EX1100,116
254,EX1085,120
255,EX1005,110
256,EX1123,116
257,EX1035,108
258,EX1159,106
259,EX1168,112
260,EX1095,102
261,EX1053,102
262,EX1179,106
263,EX1129,115
264,EX1181,115
265,EX1164,108
266,EX1140,117
267,EX1196,104
268,EX1128,105
269,EX1001,114
270,EX1146,104
271,EX1040,102
272,EX1056,117
273,EX1019,102
274,EX1024,105
275,EX1150,120
276,EX1129,113
277,EX1192,105
278,EX1043,112
279,EX1143,115
280,EX1185,116
281,EX1039,105
282,EX1182,113
283,EX1124,101
284,EX1063,107
285,EX1130,103
286,EX1110,113
287,EX1014,102
288,EX1191,111
289,EX1073,109
290,EX1180,111
291,EX1063,117
292,EX1052,103
293,EX1026,109
294,EX1137,107
295,EX1184,105
296,EX1014,109
297,EX1117,109
298,EX1145,119
299,EX1127,113
300,EX1135,119
301,EX1138,108
302,EX1135,113
303,EX1050,120
304,EX1057,101
305,EX1020,116
306,EX1185,119
307,EX1161,119
308,EX1144,109
309,EX1049,113
310,EX1066,115
311,EX1049,114
312,EX1155,102
313,EX1114,110
314,EX1103,118
315,EX1050,110
316,EX1191,112
317,EX1110,108
318,EX1159,105
319,EX1071,103
320,EX1022,108
321,EX1006,106
322,EX1195,101
323,EX1043,120
324,EX1091,116
325,EX1051,104
326,EX1111,105
327,EX1166,109
328,EX1146,117
329,EX1110,113
330,EX1052,110
331,EX1018,112
332,EX1153,112
333,EX1131,115
334,EX1095,114
335,EX1192,107
336,EX1097,101
337,EX1078,112
338,EX1167,111
339,EX1188,102
340,EX1031,102
