a,b,c,d,e,f,g,h,i,j,k,l,m,n,o
1,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0
2,0,1,2,0,0,0,0,4,5,0,0,0,0,3,4
3,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0
4,0,0,5,0,3,0,0,0,0,1,2,0,0,1,0
5,0,3,2,0,0,5,0,0,0,0,4,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,0,0,0,0,3,4,0,3,0,0,0,0,0,0
8,0,0,0,0,4,0,5,0,0,4,2,0,2,0,2
9,0,2,0,5,0,5,0,0,0,0,0,2,0,4,0
10,2,2,3,0,0,0,0,0,4,0,5,1,4,0,0
11,0,1,0,0,0,4,4,1,4,0,0,3,0,1,0
12,5,0,0,3,0,0,3,2,0,0,0,0,0,5,0
13,3,0,4,0,3,5,0,0,0,0,0,3,0,0,0
14,0,5,1,0,4,0,0,0,0,1,0,1,0,4,3
15,0,2,0,0,3,0,0,5,0,1,0,5,0,0,0
16,4,0,2,0,0,0,0,0,0,0,0,0,5,0,4
17,0,4,0,0,0,2,0,0,0,1,4,0,0,2,3
18,0,0,0,0,5,0,0,3,0,0,0,5,0,0,0
19,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,3,1,0,0,1,0,5,0,0
21,0,4,0,0,4,1,0,0,2,3,5,4,0,1,1
22,0,0,0,0,0,0,0,2,2,3,0,0,0,2,0
23,0,0,0,0,0,0,4,0,3,3,5,5,2,0,0
24,2,4,0,3,1,0,0,0,0,1,0,0,0,0,0
25,0,0,0,0,0,0,0,1,3,2,0,0,1,5,3
26,0,0,0,0,0,0,0,0,0,4,0,0,1,3,0
27,0,0,5,5,0,0,3,0,0,4,0,0,0,4,0
28,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0
29,1,0,0,0,0,0,0,4,1,0,0,0,0,0,2
30,2,2,0,0,0,0,5,0,1,0,0,0,5,0,0
31,2,0,0,5,1,0,0,0,0,0,0,0,2,0,0
32,1,0,0,0,5,0,1,1,0,3,0,3,0,0,0
33,0,0,0,0,1,3,0,0,2,0,0,0,1,0,0
34,1,5,5,0,0,2,2,0,0,0,0,0,0,0,0
35,0,0,1,0,0,0,0,2,0,0,1,1,0,0,0
36,4,0,0,0,0,2,5,0,5,0,0,4,0,0,0
37,0,5,0,5,1,0,0,1,0,0,0,4,0,0,3
38,1,4,0,0,0,0,0,2,3,0,0,2,0,0,0
39,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1
40,0,1,1,0,2,0,0,0,0,0,0,2,0,5,1
