InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536386,84880,WHITE WIRE EGG HOLDER,36,2010-12-01 09:57:00,4.95,16029,United Kingdom
536386,85099C,JUMBO  BAG BAROQUE BLACK WHITE,100,2010-12-01 09:57:00,1.65,16029,United Kingdom
536386,85099B,JUMBO BAG RED RETROSPOT,100,2010-12-01 09:57:00,1.65,16029,United Kingdom
536404,22297,HEART IVORY TRELLIS SMALL,24,2010-12-01 11:29:00,1.25,16218,United Kingdom
536404,22771,CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,12,2010-12-01 11:29:00,1.25,16218,United Kingdom
536404,22772,PINK DRAWER KNOB ACRYLIC EDWARDIAN,12,2010-12-01 11:29:00,1.25,16218,United Kingdom
536404,22773,GREEN DRAWER KNOB ACRYLIC EDWARDIAN,12,2010-12-01 11:29:00,1.25,16218,United Kingdom
536404,22805,BLUE DRAWER KNOB ACRYLIC EDWARDIAN,12,2010-12-01 11:29:00,1.25,16218,United Kingdom
536404,22469,HEART OF WICKER SMALL,12,2010-12-01 11:29:00,1.65,16218,United Kingdom
536404,22197,SMALL POPCORN HOLDER,36,2010-12-01 11:29:00,0.85,16218,United Kingdom
536404,21125,SET 6 FOOTBALL CELEBRATION CANDLES,12,2010-12-01 11:29:00,1.25,16218,United Kingdom
536404,21126,SET OF 6 GIRLS CELEBRATION CANDLES,12,2010-12-01 11:29:00,1.25,16218,United Kingdom
536404,85049C,ROMANTIC PINKS RIBBONS ,12,2010-12-01 11:29:00,1.25,16218,United Kingdom
536404,85049D,BRIGHT BLUES RIBBONS ,12,2010-12-01 11:29:00,1.25,16218,United Kingdom
536404,85049E,SCANDINAVIAN REDS RIBBONS,12,2010-12-01 11:29:00,1.25,16218,United Kingdom
536404,85049G,CHOCOLATE BOX RIBBONS ,12,2010-12-01 11:29:00,1.25,16218,United Kingdom
536404,21061,PARTY INVITES FOOTBALL,12,2010-12-01 11:29:00,0.85,16218,United Kingdom
536404,21063,PARTY INVITES JAZZ HEARTS,12,2010-12-01 11:29:00,0.85,16218,United Kingdom
536404,21062,PARTY INVITES SPACEMAN,12,2010-12-01 11:29:00,0.85,16218,United Kingdom
536404,84380,SET OF 3 BUTTERFLY COOKIE CUTTERS,12,2010-12-01 11:29:00,1.25,16218,United Kingdom
536404,84378,SET OF 3 HEART COOKIE CUTTERS,12,2010-12-01 11:29:00,1.25,16218,United Kingdom
536404,22964,3 PIECE SPACEBOY COOKIE CUTTER SET,12,2010-12-01 11:29:00,2.1,16218,United Kingdom
536404,21213,PACK OF 72 SKULL CAKE CASES,24,2010-12-01 11:29:00,0.55,16218,United Kingdom
536404,22417,PACK OF 60 SPACEBOY CAKE CASES,24,2010-12-01 11:29:00,0.55,16218,United Kingdom
536404,21212,PACK OF 72 RETROSPOT CAKE CASES,24,2010-12-01 11:29:00,0.55,16218,United Kingdom
536404,84992,72 SWEETHEART FAIRY CAKE CASES,24,2010-12-01 11:29:00,0.55,16218,United Kingdom
536404,21975,PACK OF 60 DINOSAUR CAKE CASES,24,2010-12-01 11:29:00,0.55,16218,United Kingdom
536404,22383,LUNCH BAG SUKI  DESIGN ,10,2010-12-01 11:29:00,1.65,16218,United Kingdom
536404,20728,LUNCH BAG CARS BLUE,10,2010-12-01 11:29:00,1.65,16218,United Kingdom
536404,20727,LUNCH BAG  BLACK SKULL.,10,2010-12-01 11:29:00,1.65,16218,United Kingdom
536404,22296,HEART IVORY TRELLIS LARGE,24,2010-12-01 11:29:00,1.65,16218,United Kingdom
536408,22537,MAGIC DRAWING SLATE DINOSAUR,24,2010-12-01 11:41:00,0.42,14307,United Kingdom
536408,22533,MAGIC DRAWING SLATE BAKE A CAKE ,24,2010-12-01 11:41:00,0.42,14307,United Kingdom
536408,20982,12 PENCILS TALL TUBE SKULLS,12,2010-12-01 11:41:00,0.85,14307,United Kingdom
536408,21832,CHOCOLATE CALCULATOR,12,2010-12-01 11:41:00,1.65,14307,United Kingdom
536408,21915,RED  HARMONICA IN BOX ,12,2010-12-01 11:41:00,1.25,14307,United Kingdom
536408,21914,BLUE HARMONICA IN BOX ,12,2010-12-01 11:41:00,1.25,14307,United Kingdom
536408,21544,SKULLS  WATER TRANSFER TATTOOS ,12,2010-12-01 11:41:00,0.85,14307,United Kingdom
536408,22813,PACK 3 BOXES BIRD PANNETONE ,12,2010-12-01 11:41:00,1.95,14307,United Kingdom
536408,22114,HOT WATER BOTTLE TEA AND SYMPATHY,4,2010-12-01 11:41:00,3.95,14307,United Kingdom
536408,84029E,RED WOOLLY HOTTIE WHITE HEART.,4,2010-12-01 11:41:00,3.75,14307,United Kingdom
536408,21479,WHITE SKULL HOT WATER BOTTLE ,4,2010-12-01 11:41:00,3.75,14307,United Kingdom
536408,22964,3 PIECE SPACEBOY COOKIE CUTTER SET,6,2010-12-01 11:41:00,2.1,14307,United Kingdom
536408,84375,SET OF 20 KIDS COOKIE CUTTERS,12,2010-12-01 11:41:00,2.1,14307,United Kingdom
536408,22418,10 COLOUR SPACEBOY PEN,24,2010-12-01 11:41:00,0.85,14307,United Kingdom
536408,22178,VICTORIAN GLASS HANGING T-LIGHT,12,2010-12-01 11:41:00,1.25,14307,United Kingdom
536408,84970L,SINGLE HEART ZINC T-LIGHT HOLDER,12,2010-12-01 11:41:00,0.95,14307,United Kingdom
536408,21733,RED HANGING HEART T-LIGHT HOLDER,6,2010-12-01 11:41:00,2.95,14307,United Kingdom
536408,22465,HANGING METAL STAR LANTERN,12,2010-12-01 11:41:00,1.65,14307,United Kingdom
536408,84949,SILVER HANGING T-LIGHT HOLDER,6,2010-12-01 11:41:00,1.65,14307,United Kingdom
536408,20685,DOORMAT RED RETROSPOT,2,2010-12-01 11:41:00,7.95,14307,United Kingdom
536408,48194,DOORMAT HEARTS,2,2010-12-01 11:41:00,7.95,14307,United Kingdom
536408,22488,NATURAL SLATE RECTANGLE CHALKBOARD,12,2010-12-01 11:41:00,1.65,14307,United Kingdom
536408,22219,LOVEBIRD HANGING DECORATION WHITE ,12,2010-12-01 11:41:00,0.85,14307,United Kingdom
536408,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2010-12-01 11:41:00,1.69,14307,United Kingdom
536408,21754,HOME BUILDING BLOCK WORD,3,2010-12-01 11:41:00,5.95,14307,United Kingdom
536408,21755,LOVE BUILDING BLOCK WORD,3,2010-12-01 11:41:00,5.95,14307,United Kingdom
536408,22766,PHOTO FRAME CORNICE,8,2010-12-01 11:41:00,2.95,14307,United Kingdom
