Invoice,StockCode
1,X1088,m109
2,X1133,m115
3,X1170,m106
4,X1053,m101
5,X1181,m112
6,X1020,m107
7,X1109,m102
8,X1104,m114
9,X1107,m103
10,X1101,m110
11,X1135,m104
12,X1027,m111
13,X1199,m117
14,X1129,m113
15,X1018,m108
16,X1144,m113
17,X1002,m115
18,X1181,m119
19,X1072,m114
20,X1199,m120
21,X1085,m110
22,X1170,m117
23,X1029,m115
24,X1166,m115
25,X1141,m118
26,X1196,m105
27,X1143,m116
28,X1052,m107
29,X1124,m110
30,X1188,m106
31,X1119,m117
32,X1140,m111
33,X1197,m120
34,X1043,m105
35,X1129,m116
36,X1064,m119
37,X1088,m120
38,X1021,m114
39,X1010,m116
40,X1057,m107
41,X1146,m118
42,X1031,m105
43,X1107,m105
44,X1122,m102
45,X1180,m116
46,X1113,m118
47,X1104,m108
48,X1092,m105
49,X1127,m105
50,X1085,m120
51,X1015,m102
52,X1078,m102
53,X1008,m107
54,X1137,m109
55,X1167,m120
56,X1193,m115
57,X1152,m114
58,X1143,m106
59,X1057,m120
60,X1022,m105
61,X1067,m105
62,X1192,m119
63,X1053,m119
64,X1196,m107
65,X1054,m109
66,X1053,m118
67,X1191,m117
68,X1043,m109
69,X1043,m118
70,X1020,m118
71,X1158,m110
72,X1200,m108
73,X1097,m106
74,X1028,m109
75,X1019,m118
76,X1024,m108
77,X1058,m118
78,X1010,m117
79,X1101,m120
80,X1027,m112
81,X1100,m101
82,X1134,m117
83,X1177,m117
84,X1050,m101
85,X1062,m113
86,X1163,m115
87,X1126,m117
88,X1039,m109
89,X1034,m111
90,X1051,m106
91,X1127,m114
92,X1141,m118
93,X1121,m110
94,X1194,m119
95,X1120,m116
96,X1020,m103
97,X1027,m114
98,X1007,m104
99,X1009,m116
100,X1118,m116
101,X1181,m117
102,X1053,m112
103,X1176,m111
104,X1050,m108
105,X1109,m115
106,X1154,m119
107,X1086,m103
108,X1119,m105
109,X1195,m105
110,X1004,m104
111,X1163,m120
112,X1108,m109
113,X1111,m117
114,X1010,m101
115,X1085,m109
116,X1193,m118
117,X1044,m107
118,X1032,m102
119,X1023,m109
120,X1196,m104
121,X1041,m104
122,X1018,m107
123,X1051,m107
124,X1101,m107
125,X1015,m112
126,X1046,m115
127,X1136,m120
128,X1049,m116
129,X1165,m114
130,X1174,m111
131,X1039,m118
132,X1179,m119
133,X1028,m116
134,X1116,m101
135,X1014,m102
136,X1186,m119
137,X1032,m117
138,X1142,m112
139,X1026,m115
140,X1024,m111
141,X1129,m110
142,X1147,m118
143,X1016,m108
144,X1133,m119
145,X1123,m107
146,X1026,m106
147,X1103,m111
148,X1074,m108
149,X1121,m112
150,X1135,m104
151,X1193,m115
152,X1100,m114
