"a" "b" "c" "d" "e" "f" "g" "h" "i" "j" "k" "l" "m" "n" "o" "p"
"1" 0 0 0 1 0 0 0 0 4 0 1 4 0 0 5 0
"2" 0 0 0 0 0 2 0 0 0 0 0 0 3 0 2 0
"3" 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0
"4" 3 3 0 0 5 5 0 1 2 2 0 2 0 0 0 1
"5" 0 0 0 0 3 0 0 0 3 5 0 5 0 4 0 0
"6" 5 4 0 0 0 0 5 0 5 4 0 0 0 4 0 4
"7" 4 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0
"8" 5 0 0 2 0 4 0 1 5 0 0 5 0 5 0 0
"9" 0 0 1 1 0 0 0 0 2 0 2 0 4 0 4 0
"10" 5 3 0 0 5 3 0 0 0 0 1 4 4 0 0 0
"11" 0 0 0 0 0 0 0 0 4 2 2 0 0 0 2 1
"12" 2 1 0 4 0 0 0 0 0 1 1 0 0 0 0 2
"13" 0 0 0 0 0 0 3 0 5 0 0 0 0 0 0 0
"14" 0 2 4 0 0 5 0 3 0 0 0 0 2 2 0 0
"15" 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0
"16" 1 0 0 0 4 4 1 0 2 2 0 0 0 0 0 4
"17" 0 0 0 5 0 0 0 0 2 0 0 3 0 0 2 0
"18" 0 0 4 0 0 0 0 0 5 1 0 0 0 0 0 0
"19" 4 4 5 0 0 1 0 0 2 0 5 0 2 3 3 5
"20" 0 5 3 0 2 0 0 0 3 0 1 0 0 3 1 0
"21" 1 1 0 0 0 2 0 0 0 0 0 0 0 0 0 2
"22" 0 1 5 0 3 0 0 1 0 0 3 0 0 0 0 0
"23" 3 5 0 0 0 0 0 0 0 4 0 0 2 1 0 0
"24" 1 2 0 3 0 0 0 0 0 0 0 3 1 0 2 0
"25" 0 0 0 5 0 2 0 4 0 0 1 0 0 0 0 0
"26" 1 0 0 0 0 0 4 0 0 1 0 1 5 0 0 0
"27" 0 0 1 4 0 3 0 0 0 5 3 0 1 5 0 0
"28" 1 0 0 2 0 5 4 1 0 1 0 0 1 2 2 0
